no,len2
38,19.03
38,19.02
38,18.55
38,18.47
38,18.3
38,18.16
38,17.62
38,17.41
38,17.1
38,17.07
38,16.98
38,16.98
38,16.8
38,16.7
38,16.68
38,16.65
39,28.91
39,28.84
39,28.66
39,28.4
39,28.33
39,27.82
39,27.8
39,27.45
39,26.81
39,26.61
39,26.52
39,26.46
39,25.29
39,25.08
39,24.72
39,24.71
39,24.28
39,23.95
39,23.74
39,23.21
39,22.23
39,21.99
39,21.46
39,20.99
39,20.85
39,20.53
39,20.5
39,20.18
39,20.17
39,20.07
39,19.93
39,19.79
39,19.47
39,19.46
39,19.42
39,18.69
39,18.6
39,18.32
39,18.2
39,18.12
39,18.01
39,17.97
39,17.96
39,17.9
39,17.85
39,17.73
39,17.7
39,17.7
39,17.6
39,17.59
39,17.55
39,17.52
39,17.51
39,17.5
39,17.48
39,17.43
39,17.41
39,17.24
39,17.13
39,17.12
39,17.11
39,17.06
39,17.06
40,28.91
40,28.71
40,28.59
40,27.99
40,27.72
40,26.98
40,26.85
40,26.75
40,26.46
40,25.97
40,25.89
40,25.47
40,25.31
40,25.14
40,25.07
40,25.07
40,24.73
40,24.41
40,24.32
40,24.06
40,23.97
40,23.86
40,23.55
40,23.52
40,23.52
40,23.46
40,23.36
40,23.04
40,22.46
40,22.41
40,22.38
40,21.68
40,21.5
40,21.36
40,21.19
40,21.06
40,20.85
40,20.81
40,20.48
40,20.45
40,20.43
40,20.37
40,20.12
40,20.1
40,20.1
40,20.1
40,20.03
40,19.92
40,19.86
40,19.83
40,19.6
40,19.53
40,19.4
40,19.18
40,19.1
40,19.02
40,18.93
40,18.86
40,18.68
40,18.63
40,18.25
40,18.24
40,17.99
40,17.97
40,17.19
40,17.13
40,17.12
40,16.51
41,28.66
41,28.66
41,28.46
41,27.66
41,27.06
41,26.66
41,26.51
41,26.36
41,26.26
41,26.26
41,26.11
41,25.99
41,25.74
41,24.55
41,24.53
41,24.47
41,24.47
41,24.18
41,23.9
41,23.35
41,23.21
41,22.56
41,22.3
41,22.22
41,21.94
41,21.88
41,21.62
41,21.53
41,21.45
41,21.22
41,21.01
41,20.68
41,20.63
41,20.62
41,20.58
41,20.4
41,20.23
41,20.09
41,20.06
41,20.05
41,19.98
41,19.96
41,19.93
41,19.91
41,19.75
41,19.63
41,19.58
41,19.46
41,19.35
41,19.07
41,19.07
41,19.05
41,19.02
41,18.96
41,18.96
41,18.78
41,18.73
41,18.56
41,18.28
41,18.26
41,18.05
41,17.92
41,17.7
41,17.51
41,17.39
41,17.39
41,17.37
41,17.36
41,17.25
41,16.91
41,16.55
41,16.35
42,28.58
42,27.89
42,27.44
42,27.44
42,27.37
42,27.14
42,26.69
42,26.39
42,26.17
42,26.08
42,26.08
42,26.05
42,25.82
42,25.06
42,25
42,24.91
42,24.69
42,24.49
42,24.38
42,23.87
42,23.81
42,23.66
42,23.28
42,23.04
42,22.95
42,22.78
42,22.76
42,22.75
42,22.55
42,22.24
42,21.78
42,21.61
42,21.53
42,21.53
42,21.31
42,21.3
42,21.23
42,21.23
42,21.23
42,21.18
42,21.15
42,21.13
42,20.44
42,20.42
42,20.4
42,20.33
42,20.24
42,20.21
42,20.19
42,20.18
42,20.17
42,20.13
42,20.08
42,19.87
42,19.83
42,19.79
42,19.78
42,19.78
42,19.77
42,19.67
42,19.55
42,19.46
42,19.37
42,19.35
42,19.31
42,19.13
42,19.1
42,19.03
42,18.83
42,18.76
42,18.57
42,18.53
42,18.51
42,18.49
42,18.49
42,18.49
42,18.35
42,18.26
42,18.16
42,17.95
42,17.88
42,17.88
42,17.8
42,17.65
42,17.6
42,17.57
42,17.36
42,17.33
42,17.01
42,16.8
43,28.8
43,28.5
43,27.99
43,26.98
43,26.68
43,26.67
43,26.37
43,25.69
43,25.42
43,25.02
43,24.51
43,24.2
43,24.14
43,23.72
43,23.65
43,23.6
43,23.45
43,23.34
43,23.3
43,23.02
43,22.81
43,22.78
43,22.75
43,22.65
43,22.58
43,22.42
43,22.41
43,22.3
43,22.27
43,22.06
43,21.95
43,21.87
43,21.75
43,21.65
43,21.36
43,21.19
43,21.07
43,20.86
43,20.77
43,20.51
43,20.47
43,20.46
43,20.21
43,19.92
43,19.65
43,19.49
43,19.38
43,19.36
43,19.35
43,19.35
43,19.35
43,19.26
43,19.2
43,19.18
